topcreditor,topdebtor,creditor,debtor,amount,risk
org.eclipse.jdt.apt.core.internal.env,org.eclipse.jdt.apt.core.internal,BinaryFileOutputStream,AptPlugin,1
org.eclipse.jdt.apt.core.internal.env,org.eclipse.jdt.apt.core.internal,BinaryFileOutputStream,AptProject,1
org.eclipse.jdt.apt.core.internal.env,org.eclipse.jdt.apt.core.internal,BuildEnv,AptPlugin,4
org.eclipse.jdt.apt.core.internal.env,org.eclipse.jdt.apt.core.internal,BuildFilerImpl,AptPlugin,1
org.eclipse.jdt.apt.core.internal.env,org.eclipse.jdt.apt.core.internal,BuildFilerImpl,AptProject,1
org.eclipse.jdt.apt.core.internal.env,org.eclipse.jdt.apt.core.internal,FilerImpl,AptPlugin,1
org.eclipse.jdt.apt.core.internal.env,org.eclipse.jdt.apt.core.internal,FilerImpl,AptProject,1
org.eclipse.jdt.apt.core.internal.env,org.eclipse.jdt.apt.core.internal,JavaSourceFilePrintWriter,AptPlugin,1
org.eclipse.jdt.apt.core.internal.env,org.eclipse.jdt.apt.core.internal,JavaSourceFilePrintWriter,AptProject,1
org.eclipse.jdt.apt.core.internal.env,org.eclipse.jdt.apt.core.internal,ReconcileEnv,AptPlugin,1
org.eclipse.jdt.apt.core.internal.env,org.eclipse.jdt.apt.core.internal.declaration,AbstractCompilationEnv,EclipseMirrorObject,1
org.eclipse.jdt.apt.core.internal.env,org.eclipse.jdt.apt.core.internal.declaration,AnnotationInvocationHandler,AnnotationMirrorImpl,11
org.eclipse.jdt.apt.core.internal.env,org.eclipse.jdt.apt.core.internal.declaration,BaseProcessorEnv,TypeDeclarationImpl,1
org.eclipse.jdt.apt.core.internal.env,org.eclipse.jdt.apt.core.internal.declaration,BuildEnv,EclipseMirrorObject,1
org.eclipse.jdt.apt.core.internal.env,org.eclipse.jdt.apt.core.internal.generatedfile,BinaryFileOutputStream,GeneratedFileManager,1
org.eclipse.jdt.apt.core.internal.env,org.eclipse.jdt.apt.core.internal.generatedfile,BuildFilerImpl,GeneratedSourceFolderManager,1
org.eclipse.jdt.apt.core.internal.env,org.eclipse.jdt.apt.core.internal.generatedfile,FilerImpl,GeneratedSourceFolderManager,2
org.eclipse.jdt.apt.core.internal.env,org.eclipse.jdt.apt.core.internal.generatedfile,JavaSourceFilePrintWriter,FileGenerationResult,2
org.eclipse.jdt.apt.core.internal.env,org.eclipse.jdt.apt.core.internal.generatedfile,JavaSourceFilePrintWriter,GeneratedFileManager,2
org.eclipse.jdt.apt.core.util,org.eclipse.jdt.apt.core.util,AptConfig,AptConfig,22
org.eclipse.jdt.apt.core.util,org.eclipse.jdt.apt.core.util,AptConfig,ProcessorOptionsParser,1
org.eclipse.jdt.apt.core.util,org.eclipse.jdt.apt.core.util,ProcessorOptionsParser,ProcessorOptionsParser,2
org.eclipse.jdt.apt.core.util,org.eclipse.jdt.apt.core.internal.util,AptConfig,FactoryPathUtil,4
org.eclipse.jdt.apt.core.util,org.eclipse.jdt.apt.core.internal,AptConfig,AnnotationProcessorFactoryLoader,2
org.eclipse.jdt.apt.core.util,org.eclipse.jdt.apt.core.internal,AptConfig,AptPlugin,12
org.eclipse.jdt.apt.core.util,org.eclipse.jdt.apt.core.internal,AptConfig,AptProject,2
org.eclipse.jdt.apt.core.util,org.eclipse.jdt.apt.core.internal,AptUtil,AnnotationProcessorFactoryLoader,2
org.eclipse.jdt.apt.core.util,org.eclipse.jdt.apt.core.internal.generatedfile,AptConfig,GeneratedSourceFolderManager,2
org.eclipse.jdt.apt.core.internal.util,org.eclipse.jdt.apt.core.internal.env,Factory,BaseProcessorEnv,9
org.eclipse.jdt.apt.core.internal.util,org.eclipse.jdt.apt.core.internal.env,PackageUtil,BaseProcessorEnv,1
org.eclipse.jdt.apt.core.internal.util,org.eclipse.jdt.apt.core.internal.env,ScannerUtil,BuildEnv,2
org.eclipse.jdt.apt.core.internal.util,org.eclipse.jdt.apt.core.internal.env,TypesUtil,BaseProcessorEnv,12
org.eclipse.jdt.apt.core.internal.util,org.eclipse.jdt.apt.core.internal.util,AnnotatedNodeVisitor,AnnotatedNodeVisitor,7
org.eclipse.jdt.apt.core.internal.util,org.eclipse.jdt.apt.core.internal.util,AnnotationScanner,AnnotationScanner,2
org.eclipse.jdt.apt.core.internal.util,org.eclipse.jdt.apt.core.internal.util,DeclarationFinder,DeclarationFinder,8
org.eclipse.jdt.apt.core.internal.util,org.eclipse.jdt.apt.core.internal.util,DeclarationsUtil,DeclarationsUtil,5
org.eclipse.jdt.apt.core.internal.util,org.eclipse.jdt.apt.core.internal.util,Factory,Factory,26
org.eclipse.jdt.apt.core.internal.util,org.eclipse.jdt.apt.core.internal.util,FactoryContainer,FactoryContainer,6
org.eclipse.jdt.apt.core.internal.util,org.eclipse.jdt.apt.core.internal.util,FactoryPath,Attributes,3
org.eclipse.jdt.apt.core.internal.util,org.eclipse.jdt.apt.core.internal.util,FactoryPath,FactoryPath,5
org.eclipse.jdt.apt.core.internal.util,org.eclipse.jdt.apt.core.internal.util,FactoryPath,FactoryPathUtil,6
org.eclipse.jdt.apt.core.internal.util,org.eclipse.jdt.apt.core.internal.util,FactoryPathUtil,Attributes,3
org.eclipse.jdt.apt.core.internal.util,org.eclipse.jdt.apt.core.internal.util,FactoryPathUtil,FactoryContainer,3
org.eclipse.jdt.apt.core.internal.util,org.eclipse.jdt.apt.core.internal.util,FactoryPathUtil,FactoryPath,4
org.eclipse.jdt.apt.core.internal.util,org.eclipse.jdt.apt.core.internal.util,FactoryPathUtil,FactoryPathUtil,17
org.eclipse.jdt.apt.core.internal.util,org.eclipse.jdt.apt.core.internal.util,FactoryPathUtil,FileSystemUtil,4
org.eclipse.jdt.apt.core.internal.util,org.eclipse.jdt.apt.core.internal.util,FileSystemUtil,FileSystemUtil,6
org.eclipse.jdt.apt.core.internal.util,org.eclipse.jdt.apt.core.internal.util,ManyToMany,ManyToMany,7
org.eclipse.jdt.apt.core.internal.util,org.eclipse.jdt.apt.core.internal.util,ScannerUtil,AnnotationScanner,1
org.eclipse.jdt.apt.core.internal.util,org.eclipse.jdt.apt.core.internal.util,ScannerUtil,ScannerUtil,1
org.eclipse.jdt.apt.core.internal.util,org.eclipse.jdt.apt.core.internal.util,SourcePositionImpl,SourcePositionImpl,1
org.eclipse.jdt.apt.core.internal.util,org.eclipse.jdt.apt.core.internal.util,TypesUtil,Factory,5
org.eclipse.jdt.apt.core.internal.util,org.eclipse.jdt.apt.core.internal.util,TypesUtil,TypesUtil,9
org.eclipse.jdt.apt.core.internal.util,org.eclipse.jdt.apt.core.internal,FactoryPath,AptPlugin,1
org.eclipse.jdt.apt.core.internal.util,org.eclipse.jdt.apt.core.internal,FactoryPath,FactoryPluginManager,2
org.eclipse.jdt.apt.core.internal.util,org.eclipse.jdt.apt.core.internal,FactoryPathUtil,AptPlugin,3
org.eclipse.jdt.apt.core.internal.util,org.eclipse.jdt.apt.core.internal,FactoryPathUtil,FactoryPluginManager,3
org.eclipse.jdt.apt.core.internal.util,org.eclipse.jdt.apt.core.internal,FileSystemUtil,AptPlugin,1
org.eclipse.jdt.apt.core.internal.util,org.eclipse.jdt.apt.core.internal,ScannerUtil,AptPlugin,1
org.eclipse.jdt.apt.core.internal.util,org.eclipse.jdt.apt.core.internal.declaration,DeclarationsUtil,DeclarationImpl,3
org.eclipse.jdt.apt.core.internal.util,org.eclipse.jdt.apt.core.internal.declaration,DeclarationsUtil,EclipseDeclarationImpl,2
org.eclipse.jdt.apt.core.internal.util,org.eclipse.jdt.apt.core.internal.declaration,Factory,AnnotationMirrorImpl,1
org.eclipse.jdt.apt.core.internal.util,org.eclipse.jdt.apt.core.internal.declaration,Factory,ASTBasedAnnotationElementDeclarationImpl,1
org.eclipse.jdt.apt.core.internal.util,org.eclipse.jdt.apt.core.internal.declaration,Factory,MethodDeclarationImpl,1
org.eclipse.jdt.apt.core.internal.util,org.eclipse.jdt.apt.core.internal.declaration,SourcePositionImpl,AnnotationMirrorImpl,1
org.eclipse.jdt.apt.core.internal.util,org.eclipse.jdt.apt.core.internal.declaration,SourcePositionImpl,AnnotationValueImpl,1
org.eclipse.jdt.apt.core.internal.util,org.eclipse.jdt.apt.core.internal.declaration,SourcePositionImpl,EclipseDeclarationImpl,1
org.eclipse.jdt.apt.core.internal.util,org.eclipse.jdt.apt.core.internal.declaration,TypesUtil,EclipseMirrorObject,3
org.eclipse.jdt.apt.core.internal.util,org.eclipse.jdt.apt.core.internal.declaration,TypesUtil,EclipseMirrorType,5
org.eclipse.jdt.apt.core.internal.util,org.eclipse.jdt.apt.core.internal.declaration,TypesUtil,TypeDeclarationImpl,1
org.eclipse.jdt.apt.core.internal.util,org.eclipse.jdt.apt.core.internal.type,TypesUtil,ArrayTypeImpl,1
org.eclipse.jdt.apt.core.internal,org.eclipse.jdt.apt.core.internal.env,APTDispatchRunnable,AbstractCompilationEnv,21
org.eclipse.jdt.apt.core.internal,org.eclipse.jdt.apt.core.internal.env,APTDispatchRunnable,BaseProcessorEnv,5
org.eclipse.jdt.apt.core.internal,org.eclipse.jdt.apt.core.internal.env,APTDispatchRunnable,BuildEnv,18
org.eclipse.jdt.apt.core.internal,org.eclipse.jdt.apt.core.internal.env,ReconcileEnvCallback,AbstractCompilationEnv,2
org.eclipse.jdt.apt.core.internal,org.eclipse.jdt.apt.core.internal.env,ReconcileEnvCallback,ReconcileEnv,1
org.eclipse.jdt.apt.core.internal,org.eclipse.jdt.apt.core.util,AptCompilationParticipant,AptConfig,3
org.eclipse.jdt.apt.core.internal,org.eclipse.jdt.apt.core.util,APTDispatchRunnable,AptConfig,2
org.eclipse.jdt.apt.core.internal,org.eclipse.jdt.apt.core.util,AptPlugin,AptConfig,1
org.eclipse.jdt.apt.core.internal,org.eclipse.jdt.apt.core.internal.util,AnnotationProcessorFactoryLoader,Attributes,5
org.eclipse.jdt.apt.core.internal,org.eclipse.jdt.apt.core.internal.util,AnnotationProcessorFactoryLoader,FactoryContainer,7
org.eclipse.jdt.apt.core.internal,org.eclipse.jdt.apt.core.internal.util,AnnotationProcessorFactoryLoader,FactoryPath,3
org.eclipse.jdt.apt.core.internal,org.eclipse.jdt.apt.core.internal.util,AnnotationProcessorFactoryLoader,FactoryPathUtil,3
org.eclipse.jdt.apt.core.internal,org.eclipse.jdt.apt.core.internal.util,APTDispatchRunnable,Attributes,3
org.eclipse.jdt.apt.core.internal,org.eclipse.jdt.apt.core.internal.util,AptProject,FileSystemUtil,1
org.eclipse.jdt.apt.core.internal,org.eclipse.jdt.apt.core.internal.util,FactoryPathDeltaVisitor,FactoryPathUtil,1
org.eclipse.jdt.apt.core.internal,org.eclipse.jdt.apt.core.internal.util,PluginFactoryContainer,FactoryContainer,1
org.eclipse.jdt.apt.core.internal,org.eclipse.jdt.apt.core.internal,AnnotationProcessorFactoryLoader,AnnotationProcessorFactoryLoader,20
